direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
short,ny,2025-07-25T14:55:00+00:00,3331.74,3338.81,3332.38,3.41,3336.855,3321.51,2025-07-25T18:05:00+00:00,3336.855,sl,38,-51.15,-55.35,False,up,False,36.4,normal,0.147,narrow,False
short,london,2025-07-28T08:40:00+00:00,3333.82,3338.8,3334.74,2.36429,3337.36643,3326.72714,2025-07-28T09:00:00+00:00,3337.36643,sl,4,-35.46,-39.66,False,up,False,40.0,normal,0.093,narrow,False
short,ny,2025-07-28T14:55:00+00:00,3307.96,3313.85,3308.31,4.755,3315.0925,3293.695,2025-07-28T15:25:00+00:00,3315.0925,sl,6,-71.33,-75.53,False,up,False,40.0,normal,0.126,narrow,False
long,london,2025-07-29T08:15:00+00:00,3329.65,3327.33,3316.59,3.01286,3325.13071,3338.68857,2025-07-29T08:35:00+00:00,3325.13071,sl,4,-45.19,-49.39,False,up,True,33.3,normal,0.249,narrow,False
long,ny,2025-07-29T14:55:00+00:00,3328.91,3328.22,3323.01,3.40643,3323.80036,3339.12929,2025-07-29T15:30:00+00:00,3323.80036,sl,7,-51.1,-55.3,False,up,True,33.3,normal,0.121,narrow,False
long,london,2025-07-30T08:50:00+00:00,3332.91,3332.01,3327.51,2.07071,3329.80393,3339.12214,2025-07-30T09:35:00+00:00,3329.80393,sl,9,-31.06,-35.26,False,up,True,22.7,compression,0.106,narrow,False
short,ny,2025-07-30T15:05:00+00:00,3300.16,3305.32,3301.17,2.49286,3303.89929,3292.68143,2025-07-30T15:20:00+00:00,3292.68143,tp,3,74.79,70.59,False,up,False,22.7,compression,0.098,narrow,False
long,london,2025-07-31T08:15:00+00:00,3312.35,3309.94,3303.61,3.29429,3307.40857,3322.23286,2025-07-31T09:25:00+00:00,3307.40857,sl,14,-49.41,-53.61,False,up,True,81.8,expansion,0.139,narrow,False
short,ny,2025-07-31T16:10:00+00:00,3291.15,3298.21,3291.43,2.89857,3295.49786,3282.45429,2025-07-31T16:40:00+00:00,3295.49786,sl,6,-43.48,-47.68,False,up,False,81.8,expansion,0.149,narrow,False
long,london,2025-08-01T08:55:00+00:00,3294.25,3288.73,3285.35,2.16714,3290.99929,3300.75143,2025-08-01T10:50:00+00:00,3300.75143,tp,23,65.01,60.81,False,up,True,72.7,expansion,0.076,narrow,False
long,ny,2025-08-01T14:45:00+00:00,3347.2,3346.73,3341.32,5.26429,3339.30357,3362.99286,2025-08-01T20:45:00+00:00,3362.33,time,72,151.3,147.1,False,up,True,72.7,expansion,0.121,narrow,False
